CreditCardID,CardType,CardNumber,ExpMonth,ExpYear,ModifiedDate
100,ColonialVoice,7.78E+13,9,2007,06-05-08 0:00
101,ColonialVoice,7.78E+13,12,2006,31-07-06 0:00
102,ColonialVoice,7.78E+13,12,2008,06-01-08 0:00
103,Vista,1.11E+13,10,2007,22-07-05 0:00
104,ColonialVoice,7.78E+13,11,2005,13-08-07 0:00
105,Distinguish,5.56E+13,4,2008,08-02-08 0:00
106,SuperiorCard,3.33E+13,10,2008,01-08-07 0:00
107,ColonialVoice,7.78E+13,12,2006,19-07-08 0:00
108,Vista,1.11E+13,4,2006,23-06-08 0:00
109,Vista,1.11E+13,8,2007,01-07-08 0:00
110,Distinguish,5.56E+13,12,2006,08-09-07 0:00
111,SuperiorCard,3.33E+13,4,2006,16-12-07 0:00
112,Vista,1.11E+13,3,2007,12-06-08 0:00
113,Vista,1.11E+13,2,2005,22-08-06 0:00
114,SuperiorCard,3.33E+13,8,2006,19-09-07 0:00
115,Distinguish,5.56E+13,1,2005,29-09-07 0:00
116,Distinguish,5.56E+13,5,2006,31-03-08 0:00
117,ColonialVoice,7.78E+13,8,2005,01-01-08 0:00
118,Distinguish,5.56E+13,10,2007,04-10-07 0:00
119,Distinguish,5.56E+13,1,2006,10-03-03 0:00
120,Distinguish,5.56E+13,1,2006,28-06-07 0:00
121,Distinguish,5.56E+13,8,2005,05-06-08 0:00
122,ColonialVoice,7.78E+13,9,2007,12-07-08 0:00
123,Distinguish,5.56E+13,8,2007,04-10-07 0:00
124,ColonialVoice,7.78E+13,12,2007,21-10-07 0:00
125,ColonialVoice,7.78E+13,6,2006,01-06-08 0:00
126,SuperiorCard,3.33E+13,11,2005,01-09-07 0:00
127,ColonialVoice,7.78E+13,4,2008,14-10-06 0:00
128,Distinguish,5.56E+13,8,2006,25-06-08 0:00
129,Distinguish,5.56E+13,12,2005,18-11-07 0:00
130,Vista,1.11E+13,7,2005,07-09-07 0:00
131,SuperiorCard,3.33E+13,6,2008,28-03-06 0:00
132,SuperiorCard,3.33E+13,1,2008,02-07-08 0:00
133,Distinguish,5.56E+13,8,2006,30-08-07 0:00
134,ColonialVoice,7.78E+13,8,2006,04-02-08 0:00
135,ColonialVoice,7.78E+13,4,2006,04-04-08 0:00
136,Distinguish,5.56E+13,9,2008,09-03-07 0:00
137,Distinguish,5.56E+13,12,2006,01-06-07 0:00
138,Distinguish,5.56E+13,7,2005,30-10-07 0:00
139,SuperiorCard,3.33E+13,6,2007,05-12-07 0:00
140,SuperiorCard,3.33E+13,1,2005,25-07-07 0:00
141,Distinguish,5.56E+13,8,2007,18-09-07 0:00
142,Distinguish,5.56E+13,6,2006,09-05-08 0:00
143,SuperiorCard,3.33E+13,5,2005,05-12-06 0:00
144,Distinguish,5.56E+13,3,2007,19-02-08 0:00
145,ColonialVoice,7.78E+13,1,2007,28-11-07 0:00
146,SuperiorCard,3.33E+13,1,2006,19-02-08 0:00
147,SuperiorCard,3.33E+13,1,2007,04-11-07 0:00
148,SuperiorCard,3.33E+13,8,2006,20-03-07 0:00
149,ColonialVoice,7.78E+13,11,2006,08-09-06 0:00
150,Vista,1.11E+13,12,2006,31-07-07 0:00
151,SuperiorCard,3.33E+13,12,2007,23-05-06 0:00
152,SuperiorCard,3.33E+13,10,2005,13-08-07 0:00
153,Vista,1.11E+13,1,2005,19-09-07 0:00
154,ColonialVoice,7.78E+13,8,2008,18-10-07 0:00
155,ColonialVoice,7.78E+13,3,2006,08-12-07 0:00
156,Vista,1.11E+13,4,2007,19-01-06 0:00
157,Vista,1.11E+13,6,2005,21-10-05 0:00
158,SuperiorCard,3.33E+13,6,2006,09-06-08 0:00
159,SuperiorCard,3.33E+13,1,2008,28-12-06 0:00
160,Vista,1.11E+13,12,2007,11-04-08 0:00
161,Vista,1.11E+13,3,2005,01-08-05 0:00
162,SuperiorCard,3.33E+13,8,2008,01-05-08 0:00
163,Vista,1.11E+13,12,2006,01-03-08 0:00
164,ColonialVoice,7.78E+13,5,2005,25-06-08 0:00
165,ColonialVoice,7.78E+13,2,2007,08-11-07 0:00
166,Vista,1.11E+13,9,2006,12-11-07 0:00
167,SuperiorCard,3.33E+13,11,2005,01-05-08 0:00
168,SuperiorCard,3.33E+13,1,2007,02-06-06 0:00
169,Distinguish,5.56E+13,10,2008,16-07-06 0:00
170,ColonialVoice,7.78E+13,6,2006,11-04-06 0:00
171,Distinguish,5.56E+13,8,2005,07-10-07 0:00
172,SuperiorCard,3.33E+13,11,2008,25-09-06 0:00
173,SuperiorCard,3.33E+13,10,2007,16-11-06 0:00
174,ColonialVoice,7.78E+13,7,2006,13-02-08 0:00
175,ColonialVoice,7.78E+13,1,2006,21-08-06 0:00
176,SuperiorCard,3.33E+13,10,2007,29-12-07 0:00
177,Vista,1.11E+13,9,2005,11-10-06 0:00
178,Vista,1.11E+13,6,2008,08-04-07 0:00
179,SuperiorCard,3.33E+13,3,2007,20-09-07 0:00
180,Distinguish,5.56E+13,12,2008,01-07-06 0:00
181,ColonialVoice,7.78E+13,12,2007,01-08-05 0:00
182,Distinguish,5.56E+13,3,2008,25-04-07 0:00
183,Vista,1.11E+13,3,2005,02-02-08 0:00
184,SuperiorCard,3.33E+13,10,2007,05-12-07 0:00
185,Distinguish,5.56E+13,3,2008,04-04-08 0:00
186,Vista,1.11E+13,10,2007,06-12-07 0:00
187,Vista,1.11E+13,2,2007,01-04-08 0:00
188,ColonialVoice,7.78E+13,12,2005,15-10-07 0:00
189,SuperiorCard,3.33E+13,1,2008,26-05-08 0:00
190,Distinguish,5.56E+13,7,2006,18-02-08 0:00
191,SuperiorCard,3.33E+13,7,2005,21-01-08 0:00
192,SuperiorCard,3.33E+13,6,2007,25-12-07 0:00
193,Vista,1.11E+13,12,2005,01-06-07 0:00
194,ColonialVoice,7.78E+13,8,2008,01-08-06 0:00
195,Distinguish,5.56E+13,9,2005,29-09-06 0:00
196,Vista,1.11E+13,7,2005,22-06-08 0:00
197,Distinguish,5.56E+13,5,2006,20-05-06 0:00
198,SuperiorCard,3.33E+13,7,2007,24-02-08 0:00
199,SuperiorCard,3.33E+13,5,2007,12-12-07 0:00
200,Distinguish,5.56E+13,4,2008,29-05-08 0:00
201,ColonialVoice,7.78E+13,5,2005,15-07-08 0:00
202,SuperiorCard,3.33E+13,12,2007,17-11-07 0:00
203,Vista,1.11E+13,11,2007,01-04-08 0:00
204,Distinguish,5.56E+13,4,2005,01-08-05 0:00
205,Distinguish,5.56E+13,4,2008,16-09-06 0:00
206,Vista,1.11E+13,7,2006,01-12-07 0:00
207,Distinguish,5.56E+13,1,2008,07-09-07 0:00
208,Distinguish,5.56E+13,11,2007,14-05-06 0:00
209,Vista,1.11E+13,11,2005,12-07-08 0:00
210,SuperiorCard,3.33E+13,7,2006,04-11-07 0:00
211,SuperiorCard,3.33E+13,6,2006,19-11-07 0:00
212,SuperiorCard,3.33E+13,7,2008,14-04-08 0:00
213,SuperiorCard,3.33E+13,9,2008,30-01-06 0:00
214,SuperiorCard,3.33E+13,4,2008,21-10-07 0:00
215,Vista,1.11E+13,3,2008,19-12-05 0:00
216,Distinguish,5.56E+13,7,2005,06-12-05 0:00
217,SuperiorCard,3.33E+13,10,2005,05-09-06 0:00
218,Vista,1.11E+13,12,2007,28-03-08 0:00
219,SuperiorCard,3.33E+13,2,2006,08-02-08 0:00
220,Distinguish,5.56E+13,12,2005,16-02-03 0:00
221,Vista,1.11E+13,10,2007,27-03-08 0:00
222,ColonialVoice,7.78E+13,3,2007,15-09-07 0:00
223,SuperiorCard,3.33E+13,8,2007,12-11-05 0:00
224,Vista,1.11E+13,5,2006,29-05-07 0:00
225,Vista,1.11E+13,10,2005,13-03-06 0:00
226,SuperiorCard,3.33E+13,4,2006,10-12-07 0:00
227,Vista,1.11E+13,10,2007,01-08-07 0:00
228,Vista,1.11E+13,7,2007,15-05-08 0:00
229,SuperiorCard,3.33E+13,9,2008,30-07-08 0:00
230,Distinguish,5.56E+13,7,2008,01-09-07 0:00
231,Vista,1.11E+13,11,2008,06-03-06 0:00
232,Vista,1.11E+13,10,2007,21-06-08 0:00
233,ColonialVoice,7.78E+13,1,2007,07-06-08 0:00
234,ColonialVoice,7.78E+13,3,2005,31-10-07 0:00
235,ColonialVoice,7.78E+13,2,2006,04-06-08 0:00
236,ColonialVoice,7.78E+13,12,2005,28-08-07 0:00
237,SuperiorCard,3.33E+13,4,2006,01-05-08 0:00
238,ColonialVoice,7.78E+13,12,2005,27-10-07 0:00
239,Distinguish,5.56E+13,10,2006,24-06-07 0:00
240,Distinguish,5.56E+13,5,2008,23-12-07 0:00
241,ColonialVoice,7.78E+13,5,2005,17-07-08 0:00
242,SuperiorCard,3.33E+13,10,2005,01-07-05 0:00
243,Distinguish,5.56E+13,3,2007,26-03-08 0:00
244,SuperiorCard,3.33E+13,7,2005,08-03-08 0:00
245,ColonialVoice,7.78E+13,8,2008,29-10-07 0:00
246,SuperiorCard,3.33E+13,3,2005,12-09-05 0:00
247,SuperiorCard,3.33E+13,10,2005,18-02-08 0:00
248,Vista,1.11E+13,9,2007,12-05-08 0:00
249,SuperiorCard,3.33E+13,9,2006,15-11-07 0:00
250,ColonialVoice,7.78E+13,2,2008,21-11-07 0:00
251,SuperiorCard,3.33E+13,3,2008,20-02-06 0:00
252,SuperiorCard,3.33E+13,8,2006,16-01-08 0:00
253,SuperiorCard,3.33E+13,10,2005,31-05-07 0:00
254,Distinguish,5.56E+13,11,2007,17-04-08 0:00
255,SuperiorCard,3.33E+13,6,2006,07-05-08 0:00
256,Vista,1.11E+13,12,2008,16-06-08 0:00
257,Vista,1.11E+13,10,2006,11-11-07 0:00
258,ColonialVoice,7.78E+13,6,2008,06-02-07 0:00
259,SuperiorCard,3.33E+13,4,2008,07-01-08 0:00
260,SuperiorCard,3.33E+13,7,2008,27-03-03 0:00
261,ColonialVoice,7.78E+13,12,2008,08-11-05 0:00
262,SuperiorCard,3.33E+13,4,2005,28-06-08 0:00
263,SuperiorCard,3.33E+13,12,2006,09-09-06 0:00
264,Distinguish,5.56E+13,6,2007,19-01-08 0:00
265,Distinguish,5.56E+13,4,2007,05-11-07 0:00
266,ColonialVoice,7.78E+13,1,2007,16-07-06 0:00
267,SuperiorCard,3.33E+13,11,2005,01-07-05 0:00
268,SuperiorCard,3.33E+13,2,2006,17-10-05 0:00
269,SuperiorCard,3.33E+13,8,2007,04-08-05 0:00
270,SuperiorCard,3.33E+13,7,2008,02-09-06 0:00
271,ColonialVoice,7.78E+13,9,2006,03-08-07 0:00
272,SuperiorCard,3.33E+13,8,2005,01-04-08 0:00
273,ColonialVoice,7.78E+13,11,2006,03-04-08 0:00
274,Distinguish,5.56E+13,9,2008,20-02-07 0:00
275,Distinguish,5.56E+13,5,2008,13-04-08 0:00
276,SuperiorCard,3.33E+13,12,2007,23-12-07 0:00
277,ColonialVoice,7.78E+13,5,2005,27-09-07 0:00
278,Distinguish,5.56E+13,9,2008,17-02-08 0:00
279,Vista,1.11E+13,5,2006,28-12-07 0:00
280,Vista,1.11E+13,6,2006,08-01-08 0:00
281,Distinguish,5.56E+13,5,2006,20-02-06 0:00
282,ColonialVoice,7.78E+13,12,2006,16-10-07 0:00
283,SuperiorCard,3.33E+13,9,2005,29-02-08 0:00
284,SuperiorCard,3.33E+13,4,2005,12-02-08 0:00
285,Distinguish,5.56E+13,6,2008,15-09-07 0:00
286,ColonialVoice,7.78E+13,8,2007,24-07-07 0:00
287,ColonialVoice,7.78E+13,12,2006,16-03-06 0:00
288,SuperiorCard,3.33E+13,6,2007,17-01-08 0:00
289,Distinguish,5.56E+13,6,2008,20-09-07 0:00
290,SuperiorCard,3.33E+13,7,2006,07-10-07 0:00
291,Distinguish,5.56E+13,7,2007,12-06-06 0:00
292,Vista,1.11E+13,5,2005,10-12-06 0:00
293,Vista,1.11E+13,1,2007,19-03-08 0:00
294,Vista,1.11E+13,3,2005,16-01-08 0:00
295,SuperiorCard,3.33E+13,9,2007,23-03-08 0:00
296,SuperiorCard,3.33E+13,10,2008,17-11-07 0:00
297,SuperiorCard,3.33E+13,11,2005,12-08-07 0:00
298,ColonialVoice,7.78E+13,10,2008,21-11-07 0:00
299,Distinguish,5.56E+13,4,2006,01-09-05 0:00
300,Vista,1.11E+13,5,2007,02-12-07 0:00
301,Distinguish,5.56E+13,12,2006,08-05-08 0:00
302,SuperiorCard,3.33E+13,4,2006,03-06-07 0:00
303,Vista,1.11E+13,9,2005,05-10-07 0:00
304,ColonialVoice,7.78E+13,4,2008,11-11-07 0:00
305,Distinguish,5.56E+13,7,2005,23-07-08 0:00
306,Vista,1.11E+13,8,2007,28-10-07 0:00
307,SuperiorCard,3.33E+13,1,2006,06-06-08 0:00
308,SuperiorCard,3.33E+13,6,2007,07-01-08 0:00
309,Vista,1.11E+13,3,2007,23-04-08 0:00
310,Distinguish,5.56E+13,11,2006,08-09-05 0:00
311,SuperiorCard,3.33E+13,11,2006,17-09-07 0:00
312,SuperiorCard,3.33E+13,3,2008,09-07-08 0:00
313,Distinguish,5.56E+13,7,2007,29-11-07 0:00
314,ColonialVoice,7.78E+13,1,2007,07-05-08 0:00
315,ColonialVoice,7.78E+13,10,2008,08-06-06 0:00
316,ColonialVoice,7.78E+13,12,2006,09-08-07 0:00
317,ColonialVoice,7.78E+13,1,2007,27-06-08 0:00
318,SuperiorCard,3.33E+13,12,2005,05-08-06 0:00
319,SuperiorCard,3.33E+13,3,2008,01-09-05 0:00
320,Distinguish,5.56E+13,9,2005,17-08-07 0:00
321,Vista,1.11E+13,7,2005,31-10-06 0:00
322,Vista,1.11E+13,12,2006,01-06-08 0:00
323,Distinguish,5.56E+13,2,2007,19-09-07 0:00
324,SuperiorCard,3.33E+13,2,2005,07-03-03 0:00
325,Vista,1.11E+13,12,2007,15-05-07 0:00
326,Distinguish,5.56E+13,7,2008,26-07-08 0:00
327,Distinguish,5.56E+13,7,2008,08-06-06 0:00
328,SuperiorCard,3.33E+13,10,2006,01-04-08 0:00
329,SuperiorCard,3.33E+13,8,2008,25-05-06 0:00
330,Distinguish,5.56E+13,2,2007,05-06-07 0:00
331,Distinguish,5.56E+13,11,2006,05-12-07 0:00
332,SuperiorCard,3.33E+13,6,2006,17-04-06 0:00
333,Distinguish,5.56E+13,5,2005,09-07-06 0:00
334,Distinguish,5.56E+13,6,2005,23-04-08 0:00
335,Distinguish,5.56E+13,2,2005,05-09-07 0:00
336,SuperiorCard,3.33E+13,7,2008,01-08-06 0:00
337,Vista,1.11E+13,5,2007,07-04-07 0:00
338,ColonialVoice,7.78E+13,9,2008,05-06-08 0:00
339,Distinguish,5.56E+13,12,2008,01-05-08 0:00
340,Distinguish,5.56E+13,10,2006,05-09-07 0:00
341,Vista,1.11E+13,3,2005,12-01-07 0:00
342,ColonialVoice,7.78E+13,1,2006,24-01-08 0:00
343,Vista,1.11E+13,7,2008,04-01-08 0:00
344,Vista,1.11E+13,9,2006,11-11-07 0:00
345,Vista,1.11E+13,6,2008,11-11-07 0:00
346,SuperiorCard,3.33E+13,3,2008,25-01-08 0:00
347,SuperiorCard,3.33E+13,9,2005,10-10-07 0:00
348,Distinguish,5.56E+13,11,2008,10-10-07 0:00
349,ColonialVoice,7.78E+13,9,2007,02-01-07 0:00
350,ColonialVoice,7.78E+13,5,2007,18-08-07 0:00
351,ColonialVoice,7.78E+13,12,2007,20-11-06 0:00
352,Vista,1.11E+13,5,2005,25-10-06 0:00
353,Vista,1.11E+13,11,2008,01-02-08 0:00
354,SuperiorCard,3.33E+13,6,2007,04-01-08 0:00
355,SuperiorCard,3.33E+13,9,2008,01-08-07 0:00
356,Vista,1.11E+13,10,2008,29-07-07 0:00
357,SuperiorCard,3.33E+13,1,2008,15-03-08 0:00
358,SuperiorCard,3.33E+13,11,2006,28-06-06 0:00
359,ColonialVoice,7.78E+13,10,2008,16-10-06 0:00
360,ColonialVoice,7.78E+13,7,2005,21-04-08 0:00
361,SuperiorCard,3.33E+13,4,2007,22-02-08 0:00
362,Distinguish,5.56E+13,3,2007,06-07-08 0:00
363,ColonialVoice,7.78E+13,8,2006,05-05-08 0:00
364,Distinguish,5.56E+13,9,2007,10-05-08 0:00
365,Vista,1.11E+13,8,2005,13-09-07 0:00
366,Distinguish,5.56E+13,6,2007,25-04-08 0:00
367,ColonialVoice,7.78E+13,10,2006,06-09-06 0:00
368,SuperiorCard,3.33E+13,8,2008,19-12-07 0:00
369,Distinguish,5.56E+13,7,2008,05-11-06 0:00
370,Distinguish,5.56E+13,10,2007,01-05-06 0:00
371,Vista,1.11E+13,2,2006,01-09-06 0:00
372,Distinguish,5.56E+13,6,2008,11-03-08 0:00
373,SuperiorCard,3.33E+13,10,2008,26-02-06 0:00
374,Vista,1.11E+13,2,2007,04-06-08 0:00
375,Distinguish,5.56E+13,5,2005,16-04-08 0:00
376,SuperiorCard,3.33E+13,7,2006,08-06-07 0:00
377,Vista,1.11E+13,1,2005,15-08-06 0:00
378,Distinguish,5.56E+13,4,2006,23-03-08 0:00
379,SuperiorCard,3.33E+13,2,2008,01-05-08 0:00
380,ColonialVoice,7.78E+13,1,2008,19-12-05 0:00
381,SuperiorCard,3.33E+13,3,2006,16-08-07 0:00
382,Vista,1.11E+13,5,2007,30-10-06 0:00
383,Vista,1.11E+13,5,2006,27-07-06 0:00
384,ColonialVoice,7.78E+13,8,2007,26-02-08 0:00
385,SuperiorCard,3.33E+13,4,2005,02-10-05 0:00
386,SuperiorCard,3.33E+13,6,2006,26-05-08 0:00
387,ColonialVoice,7.78E+13,10,2006,05-12-07 0:00
388,Distinguish,5.56E+13,2,2007,26-08-07 0:00
389,Distinguish,5.56E+13,10,2005,01-12-07 0:00
390,Vista,1.11E+13,7,2008,12-05-08 0:00
391,ColonialVoice,7.78E+13,7,2005,27-03-08 0:00
392,Vista,1.11E+13,5,2007,30-11-07 0:00
393,Vista,1.11E+13,4,2006,05-04-08 0:00
394,Distinguish,5.56E+13,6,2006,23-03-03 0:00
395,ColonialVoice,7.78E+13,6,2006,27-12-02 0:00
396,SuperiorCard,3.33E+13,2,2006,29-07-08 0:00
397,SuperiorCard,3.33E+13,5,2006,09-09-07 0:00
398,SuperiorCard,3.33E+13,8,2006,22-07-06 0:00
399,Vista,1.11E+13,7,2006,19-08-07 0:00
400,Vista,1.11E+13,6,2005,19-11-05 0:00
401,Distinguish,5.56E+13,9,2007,13-02-08 0:00
402,ColonialVoice,7.78E+13,11,2008,23-06-07 0:00
403,ColonialVoice,7.78E+13,7,2008,09-10-06 0:00
404,SuperiorCard,3.33E+13,3,2007,19-10-07 0:00
405,Distinguish,5.56E+13,9,2006,08-09-07 0:00
406,SuperiorCard,3.33E+13,1,2007,24-03-08 0:00
407,SuperiorCard,3.33E+13,9,2005,26-03-08 0:00
408,Distinguish,5.56E+13,11,2008,12-03-07 0:00
409,ColonialVoice,7.78E+13,5,2008,25-03-07 0:00
410,SuperiorCard,3.33E+13,5,2008,19-03-07 0:00
411,Distinguish,5.56E+13,7,2005,02-03-08 0:00
412,SuperiorCard,3.33E+13,8,2005,19-10-05 0:00
413,SuperiorCard,3.33E+13,9,2008,15-02-03 0:00
414,Distinguish,5.56E+13,1,2006,09-12-07 0:00
415,Distinguish,5.56E+13,1,2005,21-02-08 0:00
416,Vista,1.11E+13,1,2005,21-01-08 0:00
417,SuperiorCard,3.33E+13,11,2006,17-06-08 0:00
418,ColonialVoice,7.78E+13,7,2005,29-01-06 0:00
419,SuperiorCard,3.33E+13,5,2005,29-08-07 0:00
420,Distinguish,5.56E+13,5,2008,16-11-06 0:00
421,ColonialVoice,7.78E+13,12,2006,30-12-07 0:00
422,ColonialVoice,7.78E+13,1,2005,07-06-08 0:00
423,Vista,1.11E+13,9,2007,04-09-07 0:00
424,SuperiorCard,3.33E+13,4,2008,01-11-06 0:00
425,Distinguish,5.56E+13,3,2008,19-11-07 0:00
426,ColonialVoice,7.78E+13,10,2006,14-09-07 0:00
427,Distinguish,5.56E+13,11,2006,03-04-08 0:00
428,Vista,1.11E+13,1,2008,02-02-08 0:00
429,Vista,1.11E+13,3,2008,29-06-07 0:00
430,Vista,1.11E+13,12,2006,17-06-06 0:00
431,Distinguish,5.56E+13,6,2007,27-11-07 0:00
432,Vista,1.11E+13,11,2006,25-12-07 0:00
433,Distinguish,5.56E+13,4,2008,26-05-08 0:00
434,Distinguish,5.56E+13,3,2006,22-04-08 0:00
435,ColonialVoice,7.78E+13,2,2008,29-05-08 0:00
436,Distinguish,5.56E+13,1,2006,18-06-08 0:00
437,Vista,1.11E+13,11,2008,28-06-08 0:00
438,Distinguish,5.56E+13,12,2005,15-04-08 0:00
439,Vista,1.11E+13,2,2006,26-05-05 0:00
440,ColonialVoice,7.78E+13,2,2007,07-09-07 0:00
441,SuperiorCard,3.33E+13,9,2006,16-12-06 0:00
442,Vista,1.11E+13,7,2005,02-02-07 0:00
443,ColonialVoice,7.78E+13,4,2007,17-07-07 0:00
444,Distinguish,5.56E+13,3,2007,13-07-08 0:00
445,SuperiorCard,3.33E+13,2,2005,01-01-07 0:00
446,Vista,1.11E+13,8,2007,05-03-08 0:00
447,SuperiorCard,3.33E+13,8,2007,02-03-08 0:00
448,Vista,1.11E+13,12,2007,09-05-08 0:00
449,SuperiorCard,3.33E+13,9,2006,23-03-08 0:00
450,SuperiorCard,3.33E+13,1,2006,21-09-07 0:00
451,SuperiorCard,3.33E+13,6,2005,01-08-06 0:00
452,ColonialVoice,7.78E+13,8,2006,02-08-07 0:00
453,SuperiorCard,3.33E+13,8,2007,30-04-06 0:00
454,Distinguish,5.56E+13,12,2007,17-11-07 0:00
455,SuperiorCard,3.33E+13,3,2006,13-12-07 0:00
