BusinessEntityID,NationalIDNumber,LoginID,OrganizationNode,OrganizationLevel,JobTitle,BirthDate,MaritalStatus,Gender,HireDate,SalariedFlag,VacationHours,SickLeaveHours,CurrentFlag,rowguid,ModifiedDate
65,3689,adventure-works\randy0,0x7AE378,4,Production Technician - WC60,29-05-64,M,M,26-03-04,FALSE,29,34,TRUE,{9A08108D-E039-4862-8F93-55F18017AD72},31-07-08 0:00
66,1673,adventure-works\karan0,0x7AE384,4,Production Technician - WC60,07-04-64,S,M,23-01-04,FALSE,28,34,TRUE,{08B1BA74-DD80-4FDA-8327-93268B84977B},31-07-08 0:00
67,726,adventure-works\jay0,0x7AE38C,4,Production Technician - WC60,14-03-70,S,M,06-04-03,FALSE,32,36,TRUE,{18187809-5294-474F-85A1-D5BE6BD518D6},31-07-08 0:00
68,2289,adventure-works\charles0,0x7AE394,4,Production Technician - WC60,03-10-65,S,M,04-01-04,FALSE,27,33,TRUE,{CDC11292-DF74-4FB0-8676-5B2AA4687142},31-07-08 0:00
69,165,adventure-works\steve0,0x7AE39C,4,Production Technician - WC60,07-05-85,S,M,19-03-03,FALSE,31,35,TRUE,{12F678D7-EAD3-4CF4-8518-A19AACF2A6D4},31-07-08 0:00
70,253,adventure-works\david2,0x7AE3A2,4,Production Technician - WC60,30-01-79,M,M,16-01-03,FALSE,33,36,TRUE,{FC617BB8-D2A3-4374-873C-8EF38D80127D},31-07-08 0:00
71,1371,adventure-works\michael3,0x7AE5,3,Production Supervisor - WC30,02-03-83,S,M,19-03-03,FALSE,70,55,TRUE,{1AD772D7-7B4A-4A7B-8676-49DD7608CB94},31-07-08 0:00
72,1659,adventure-works\steven0,0x7AE558,4,Production Technician - WC30,15-06-71,M,M,02-01-03,FALSE,41,40,TRUE,{0A8937C9-68AA-4D48-BA4E-B40493D764AA},31-07-08 0:00
73,2568,adventure-works\carole0,0x7AE568,4,Production Technician - WC30,19-11-77,M,F,20-01-03,FALSE,42,41,TRUE,{C76A41F1-A390-4AE4-A82A-2A87764C6391},31-07-08 0:00
74,493,adventure-works\bjorn0,0x7AE578,4,Production Technician - WC30,08-12-83,S,M,08-02-03,FALSE,43,41,TRUE,{A942E1E0-2D5E-4858-97C0-947020E96860},31-07-08 0:00
75,4433,adventure-works\michiko0,0x7AE584,4,Production Technician - WC30,28-07-76,S,M,27-02-03,FALSE,44,42,TRUE,{F359F5B6-5E18-4C62-8531-14D951911CE5},31-07-08 0:00
76,4628,adventure-works\carol0,0x7AE58C,4,Production Technician - WC30,18-11-82,M,F,16-03-03,FALSE,45,42,TRUE,{8D0182A3-5B59-4EEA-9B3C-C7F05DA9A2CE},31-07-08 0:00
77,2542,adventure-works\merav0,0x7AE594,4,Production Technician - WC30,13-06-77,M,F,04-04-03,FALSE,46,43,TRUE,{2EE7914A-62D3-473B-A0E1-E4E55341EC4E},31-07-08 0:00
78,1793,adventure-works\reuben0,0x7AE7,3,Production Supervisor - WC40,27-09-81,M,M,16-01-03,FALSE,72,56,TRUE,{71EEE2A6-B9B3-4BF4-8949-01239DF7C901},31-07-08 0:00
79,2517,adventure-works\eric1,0x7AE758,4,Production Technician - WC40,08-01-61,M,M,25-02-04,FALSE,60,50,TRUE,{55F62E38-9457-46C8-A824-E46A3117A935},31-07-08 0:00
80,5520,adventure-works\sandeep0,0x7AE768,4,Production Technician - WC40,03-01-65,S,M,18-02-04,FALSE,65,52,TRUE,{606C21E2-3EC0-48A6-A9FE-6BC8123AC786},31-07-08 0:00
81,2877,adventure-works\mihail0,0x7AE778,4,Production Technician - WC40,09-04-65,S,M,30-01-04,FALSE,64,52,TRUE,{03A9BA14-0D5B-4671-B851-2C1721EFBF01},31-07-08 0:00
82,1618,adventure-works\jack1,0x7AE784,4,Production Technician - WC40,30-09-67,S,M,03-04-04,FALSE,62,51,TRUE,{D308D387-F7F3-4B5F-ABDA-FAF5574245CD},31-07-08 0:00
83,2688,adventure-works\patrick1,0x7AE78C,4,Production Technician - WC40,24-01-68,M,M,15-03-04,FALSE,61,50,TRUE,{296C52AE-169F-4292-975D-C508476DCECF},31-07-08 0:00
84,636,adventure-works\frank3,0x7AE794,4,Production Technician - WC40,03-04-46,M,M,08-03-04,FALSE,66,53,TRUE,{9AF24ACC-EA3E-4EFE-B5E3-4762C496D57C},31-07-08 0:00
85,335,adventure-works\brian2,0x7AE79C,4,Production Technician - WC40,23-01-65,S,M,12-01-04,FALSE,63,51,TRUE,{C294F676-CAAF-4924-9730-BC81AE408BE1},31-07-08 0:00
86,4976,adventure-works\ryan0,0x7AE7A2,4,Production Technician - WC40,15-07-66,M,M,06-02-03,FALSE,59,49,TRUE,{10E5BD6F-2B9C-4192-A94D-6A2D50EA1ADB},31-07-08 0:00
87,1250,adventure-works\cristian0,0x7AE880,3,Production Supervisor - WC10,13-05-78,M,M,23-01-03,FALSE,67,53,TRUE,{5BE16416-8570-417D-9E54-047DB468B5E9},31-07-08 0:00
88,1953,adventure-works\betsy0,0x7AE8AC,4,Production Technician - WC10,17-01-61,S,F,19-01-04,FALSE,99,69,TRUE,{EBCDBA1C-6C1D-4D36-90F7-1893755C85E3},31-07-08 0:00
89,2948,adventure-works\patrick0,0x7AE8B4,4,Production Technician - WC10,11-10-80,S,M,04-03-04,FALSE,96,68,TRUE,{D5FBE9E6-B8C5-484C-B4B8-48059E0EF267},31-07-08 0:00
90,5237,adventure-works\danielle0,0x7AE8BC,4,Production Technician - WC10,08-10-80,S,F,23-03-04,FALSE,97,68,TRUE,{BB886159-1400-4264-B7C9-A3769BEB1274},31-07-08 0:00
91,3579,adventure-works\kimberly0,0x7AE8C2,4,Production Technician - WC10,14-10-80,S,F,13-02-04,FALSE,95,67,TRUE,{CE256B6C-1EEE-43ED-9969-7CAC480FF4D7},31-07-08 0:00
92,952,adventure-works\tom0,0x7AE8C6,4,Production Technician - WC10,01-11-80,M,M,10-04-04,FALSE,98,69,TRUE,{B3BF7FC5-2014-48CE-B7BB-76124FA8446C},31-07-08 0:00
93,2198,adventure-works\kok-ho0,0x7AE980,3,Production Supervisor - WC50,30-05-74,S,M,28-01-03,FALSE,78,59,TRUE,{57FB2C0F-B105-49F0-967A-88F3D743CB3F},31-07-08 0:00
94,3962,adventure-works\russell0,0x7AE9AC,4,Production Technician - WC50,27-12-66,M,M,13-01-03,FALSE,6,23,TRUE,{6B10192F-D570-47C4-82C9-3D979B1EFDC1},31-07-08 0:00
95,1979,adventure-works\jim0,0x7AE9B4,4,Production Technician - WC50,09-10-80,M,M,20-01-03,FALSE,1,20,TRUE,{6175876E-8FCC-4917-BE06-FC358515E6DF},31-07-08 0:00
96,5389,adventure-works\elizabeth0,0x7AE9BC,4,Production Technician - WC50,26-02-84,M,F,03-04-03,FALSE,5,22,TRUE,{62A9F73F-6443-4F2F-B864-18186614BFB6},31-07-08 0:00
97,4831,adventure-works\mandar0,0x7AE9C2,4,Production Technician - WC50,21-04-80,S,M,14-03-03,FALSE,0,20,TRUE,{1F0E068A-48C5-40BF-8190-565150EFDADD},31-07-08 0:00
98,5137,adventure-works\sameer0,0x7AE9C6,4,Production Technician - WC50,27-07-72,M,M,15-03-03,FALSE,4,22,TRUE,{A703169F-1563-488E-914D-D784FD07F29A},31-07-08 0:00
99,5794,adventure-works\nuan0,0x7AE9CA,4,Production Technician - WC50,29-04-73,S,M,07-02-03,FALSE,2,21,TRUE,{A6089357-2F2F-48CC-AB3C-D9B75A3C09D7},31-07-08 0:00
100,491,adventure-works\lolan0,0x7AE9CE,4,Production Technician - WC50,25-02-67,M,M,13-02-03,FALSE,7,23,TRUE,{9B9B768D-7CC1-4DCE-87CB-765AB73A6AFF},31-07-08 0:00
101,1058,adventure-works\houman0,0x7AE9D1,4,Production Technician - WC50,30-09-65,M,M,26-02-03,FALSE,3,21,TRUE,{9CE8B2E8-9944-4BA5-97DE-441D8314F161},31-07-08 0:00
102,2307,adventure-works\zheng0,0x7AEA80,3,Production Supervisor - WC10,26-11-77,S,M,04-01-03,FALSE,66,53,TRUE,{C75F2740-ACE3-4EBF-91C5-7AB352E1095F},31-07-08 0:00
103,1328,adventure-works\ebru0,0x7AEAAC,4,Production Technician - WC10,23-10-80,S,M,07-01-04,FALSE,93,66,TRUE,{6C25A32B-88B5-4F84-A129-F7F688DFA588},31-07-08 0:00
104,71,adventure-works\mary1,0x7AEAB4,4,Production Technician - WC10,20-10-80,M,F,26-01-04,FALSE,94,67,TRUE,{6DC9F7D0-5664-4E4A-90F5-7AB85EBB02E6},31-07-08 0:00
105,5251,adventure-works\kevin2,0x7AEABC,4,Production Technician - WC10,20-10-80,S,M,26-01-04,FALSE,90,65,TRUE,{8B21E53D-E705-479A-B32E-6E63AC2F4BCD},31-07-08 0:00
106,916,adventure-works\john4,0x7AEAC2,4,Production Technician - WC10,29-10-80,S,M,30-03-04,FALSE,92,66,TRUE,{D4CF23D9-21B6-45E4-827C-22890DF0373B},31-07-08 0:00
107,539,adventure-works\christopher0,0x7AEAC6,4,Production Technician - WC10,01-11-80,M,M,11-03-04,FALSE,91,65,TRUE,{F71C6055-557B-4660-86FF-8C0FA14B24E6},31-07-08 0:00
108,5252,adventure-works\jinghao0,0x7AEB80,3,Production Supervisor - WC50,09-03-83,S,M,09-01-03,FALSE,77,58,TRUE,{2BCA07D3-F2AC-4406-904F-E09156F3EB3E},31-07-08 0:00
109,3723,adventure-works\alice0,0x7AEBAC,4,Production Technician - WC50,27-02-72,M,F,08-01-03,FALSE,95,67,TRUE,{7E632B21-0D11-4BBA-8A68-8CAE14C20AE6},31-07-08 0:00
110,1299,adventure-works\jun0,0x7AEBB4,4,Production Technician - WC50,06-08-73,S,M,15-01-03,FALSE,90,65,TRUE,{9C5F84D1-FB96-4D82-92A1-F932903DEAAD},31-07-08 0:00
111,2856,adventure-works\suroor0,0x7AEBBC,4,Production Technician - WC50,28-03-72,S,M,18-01-03,FALSE,93,66,TRUE,{14010B0E-C101-4E41-B788-21923399E512},31-07-08 0:00
112,1039,adventure-works\john1,0x7AEBC2,4,Production Technician - WC50,01-07-72,S,M,02-02-03,FALSE,91,65,TRUE,{B6998410-EE0F-4307-9E6E-FE348F11012D},31-07-08 0:00
113,1042,adventure-works\linda0,0x7AEBC6,4,Production Technician - WC50,17-08-81,M,F,26-01-03,FALSE,96,68,TRUE,{FB84759C-B687-43B2-8727-125EFE0F5E13},31-07-08 0:00
114,4371,adventure-works\mindaugas0,0x7AEBCA,4,Production Technician - WC50,07-06-72,M,M,14-02-03,FALSE,97,68,TRUE,{1D784088-DACB-4185-9F60-3D2DB4925BA5},31-07-08 0:00
115,3876,adventure-works\angela0,0x7AEBCE,4,Production Technician - WC50,01-07-85,S,F,21-02-03,FALSE,92,66,TRUE,{4958E1C3-C872-4222-954E-09D2060EA7EF},31-07-08 0:00
116,5126,adventure-works\michael2,0x7AEBD1,4,Production Technician - WC50,03-06-68,S,M,04-03-03,FALSE,98,69,TRUE,{C6EB2566-CF28-4602-9A25-5B91C8728838},31-07-08 0:00
117,15,adventure-works\chad0,0x7AEBD3,4,Production Technician - WC50,04-09-84,M,M,22-03-03,FALSE,99,69,TRUE,{83A32D4C-4725-478F-9997-91739BB957BA},31-07-08 0:00
118,3326,adventure-works\don0,0x7AEBD5,4,Production Technician - WC50,14-07-65,M,M,17-03-03,FALSE,88,64,TRUE,{E720053D-922E-4C91-B81A-A1CA4EF8BB0E},31-07-08 0:00
119,4246,adventure-works\michael4,0x7AEBD7,4,Production Technician - WC50,17-07-83,S,M,29-03-03,FALSE,94,67,TRUE,{EB27C026-9470-4450-8D5E-1F38A41793B5},31-07-08 0:00
120,716,adventure-works\kitti0,0x7AEBD9,4,Production Technician - WC50,07-07-81,S,F,05-04-03,FALSE,89,64,TRUE,{49A05524-FA34-45B1-95BC-489901DC5B50},31-07-08 0:00
121,595,adventure-works\pilar0,0x7AEC80,3,Shipping and Receiving Supervisor,11-10-66,S,M,03-02-03,TRUE,93,66,TRUE,{01BCCE22-D63A-4C3F-9BA8-D3D5A4C3BD52},31-07-08 0:00
122,2437,adventure-works\susan0,0x7AECAC,4,Stocker,20-03-72,S,F,08-01-03,FALSE,97,68,TRUE,{923ECFD6-E202-429A-9141-6CB183531439},31-07-08 0:00
123,5536,adventure-works\vamsi0,0x7AECB4,4,Shipping and Receiving Clerk,19-04-71,M,M,08-01-03,FALSE,95,67,TRUE,{A8838AB2-99DE-415C-8675-D82EBF1C4752},31-07-08 0:00
124,4748,adventure-works\kim0,0x7AECBC,4,Stocker,01-06-78,S,F,27-01-03,FALSE,98,69,TRUE,{6150F197-7923-40D4-84F2-936207D468AB},31-07-08 0:00
125,4144,adventure-works\matthias0,0x7AECC2,4,Shipping and Receiving Clerk,13-12-67,M,M,21-02-03,FALSE,94,67,TRUE,{54ED63DC-C62C-4CC7-89C2-015DF49C49A5},31-07-08 0:00
126,4549,adventure-works\jimmy0,0x7AECC6,4,Stocker,05-06-79,M,M,30-03-03,FALSE,96,68,TRUE,{96442787-9520-4955-A457-38AFDDB6FF13},31-07-08 0:00
127,3160,adventure-works\david4,0x7AED80,3,Production Supervisor - WC40,02-08-77,S,M,04-02-03,FALSE,73,56,TRUE,{516538E8-115B-44F4-AA7B-E6C1D9F8ADFC},31-07-08 0:00
128,3097,adventure-works\paul0,0x7AEDAC,4,Production Technician - WC40,15-12-74,S,M,05-01-03,FALSE,68,54,TRUE,{0217049E-1566-42B6-8027-41B751E2B00B},31-07-08 0:00
129,228,adventure-works\gary0,0x7AEDB4,4,Production Technician - WC40,17-06-82,S,M,23-01-03,FALSE,69,54,TRUE,{A03D6052-1F85-4EBE-AAC9-B67CFDCD91A6},31-07-08 0:00
130,2805,adventure-works\rob1,0x7AEDBC,4,Production Technician - WC40,05-09-67,S,M,17-03-03,FALSE,71,55,TRUE,{54FDA597-6822-42B4-B128-63ECA03071F2},31-07-08 0:00
131,4223,adventure-works\baris0,0x7AEDC2,4,Production Technician - WC40,07-11-84,S,M,19-03-03,FALSE,72,56,TRUE,{232D68BF-DF58-48F9-9235-53BD4B009B4B},31-07-08 0:00
132,5193,adventure-works\nicole0,0x7AEDC6,4,Production Technician - WC40,10-05-80,M,F,26-03-03,FALSE,67,53,TRUE,{15671E3B-016F-41FD-840B-5A9F7D776D9A},31-07-08 0:00
133,4226,adventure-works\michael1,0x7AEDCA,4,Production Technician - WC40,04-02-85,S,M,11-02-03,FALSE,70,55,TRUE,{416BF905-7D6C-4692-8FD6-40F6C4F9ECC4},31-07-08 0:00
