CreditCardID,CardType,ExpMonth,ExpYear,ModifiedDate,CardNumber
200,Distinguish,4,2008,29-05-08 0:00,121783
201,ColonialVoice,5,2005,15-07-08 0:00,90276
202,SuperiorCard,12,2007,17-11-07 0:00,129773
203,Vista,11,2007,01-04-08 0:00,58636
204,Distinguish,4,2005,01-08-05 0:00,82640
205,Distinguish,4,2008,16-09-06 0:00,170266
206,Vista,7,2006,01-12-07 0:00,150
207,Distinguish,1,2008,07-09-07 0:00,186221
208,Distinguish,11,2007,14-05-06 0:00,133341
209,Vista,11,2005,12-07-08 0:00,111170
210,SuperiorCard,7,2006,04-11-07 0:00,171167
211,SuperiorCard,6,2006,19-11-07 0:00,140800
212,SuperiorCard,7,2008,14-04-08 0:00,186331
213,SuperiorCard,9,2008,30-01-06 0:00,26468
214,SuperiorCard,4,2008,21-10-07 0:00,54743
215,Vista,3,2008,19-12-05 0:00,79774
216,Distinguish,7,2005,06-12-05 0:00,71539
217,SuperiorCard,10,2005,05-09-06 0:00,160920
218,Vista,12,2007,28-03-08 0:00,61083
219,SuperiorCard,2,2006,08-02-08 0:00,131955
220,Distinguish,12,2005,16-02-03 0:00,58009
221,Vista,10,2007,27-03-08 0:00,187780
222,ColonialVoice,3,2007,15-09-07 0:00,152139
223,SuperiorCard,8,2007,12-11-05 0:00,229
224,Vista,5,2006,29-05-07 0:00,71546
225,Vista,10,2005,13-03-06 0:00,51608
226,SuperiorCard,4,2006,10-12-07 0:00,155523
227,Vista,10,2007,01-08-07 0:00,33801
228,Vista,7,2007,15-05-08 0:00,32909
229,SuperiorCard,9,2008,30-07-08 0:00,89170
230,Distinguish,7,2008,01-09-07 0:00,175223
231,Vista,11,2008,06-03-06 0:00,124799
232,Vista,10,2007,21-06-08 0:00,121817
233,ColonialVoice,1,2007,07-06-08 0:00,125904
234,ColonialVoice,3,2005,31-10-07 0:00,128621
235,ColonialVoice,2,2006,04-06-08 0:00,188418
236,ColonialVoice,12,2005,28-08-07 0:00,62460
237,SuperiorCard,4,2006,01-05-08 0:00,82954
238,ColonialVoice,12,2005,27-10-07 0:00,190266
239,Distinguish,10,2006,24-06-07 0:00,72179
240,Distinguish,5,2008,23-12-07 0:00,112420
241,ColonialVoice,5,2005,17-07-08 0:00,139418
242,SuperiorCard,10,2005,01-07-05 0:00,3169
243,Distinguish,3,2007,26-03-08 0:00,85798
244,SuperiorCard,7,2005,08-03-08 0:00,164043
245,ColonialVoice,8,2008,29-10-07 0:00,93421
246,SuperiorCard,3,2005,12-09-05 0:00,89936
247,SuperiorCard,10,2005,18-02-08 0:00,76790
248,Vista,9,2007,12-05-08 0:00,78202
249,SuperiorCard,9,2006,15-11-07 0:00,170881
250,ColonialVoice,2,2008,21-11-07 0:00,149932
251,SuperiorCard,3,2008,20-02-06 0:00,153418
252,SuperiorCard,8,2006,16-01-08 0:00,129517
253,SuperiorCard,10,2005,31-05-07 0:00,101572
254,Distinguish,11,2007,17-04-08 0:00,8874
255,SuperiorCard,6,2006,07-05-08 0:00,157395
256,Vista,12,2008,16-06-08 0:00,72624
257,Vista,10,2006,11-11-07 0:00,100232
258,ColonialVoice,6,2008,06-02-07 0:00,138171
259,SuperiorCard,4,2008,07-01-08 0:00,161882
260,SuperiorCard,7,2008,27-03-03 0:00,43895
261,ColonialVoice,12,2008,08-11-05 0:00,91858
262,SuperiorCard,4,2005,28-06-08 0:00,6198
263,SuperiorCard,12,2006,09-09-06 0:00,163654
264,Distinguish,6,2007,19-01-08 0:00,154009
265,Distinguish,4,2007,05-11-07 0:00,150464
266,ColonialVoice,1,2007,16-07-06 0:00,96610
267,SuperiorCard,11,2005,01-07-05 0:00,146245
268,SuperiorCard,2,2006,17-10-05 0:00,140655
269,SuperiorCard,8,2007,04-08-05 0:00,181151
270,SuperiorCard,7,2008,02-09-06 0:00,27135
271,ColonialVoice,9,2006,03-08-07 0:00,49327
272,SuperiorCard,8,2005,01-04-08 0:00,61020
273,ColonialVoice,11,2006,03-04-08 0:00,95981
274,Distinguish,9,2008,20-02-07 0:00,121902
275,Distinguish,5,2008,13-04-08 0:00,109067
276,SuperiorCard,12,2007,23-12-07 0:00,143296
277,ColonialVoice,5,2005,27-09-07 0:00,119448
278,Distinguish,9,2008,17-02-08 0:00,164438
279,Vista,5,2006,28-12-07 0:00,37178
280,Vista,6,2006,08-01-08 0:00,44653
281,Distinguish,5,2006,20-02-06 0:00,156503
282,ColonialVoice,12,2006,16-10-07 0:00,190095
283,SuperiorCard,9,2005,29-02-08 0:00,98174
284,SuperiorCard,4,2005,12-02-08 0:00,88122
285,Distinguish,6,2008,15-09-07 0:00,56239
286,ColonialVoice,8,2007,24-07-07 0:00,154867
287,ColonialVoice,12,2006,16-03-06 0:00,156025
288,SuperiorCard,6,2007,17-01-08 0:00,89177
289,Distinguish,6,2008,20-09-07 0:00,116630
290,SuperiorCard,7,2006,07-10-07 0:00,154394
291,Distinguish,7,2007,12-06-06 0:00,59670
292,Vista,5,2005,10-12-06 0:00,57699
293,Vista,1,2007,19-03-08 0:00,94713
294,Vista,3,2005,16-01-08 0:00,30133
295,SuperiorCard,9,2007,23-03-08 0:00,95972
296,SuperiorCard,10,2008,17-11-07 0:00,39963
297,SuperiorCard,11,2005,12-08-07 0:00,39025
298,ColonialVoice,10,2008,21-11-07 0:00,25817
299,Distinguish,4,2006,01-09-05 0:00,119022
300,Vista,5,2007,02-12-07 0:00,184760
301,Distinguish,12,2006,08-05-08 0:00,102351
302,SuperiorCard,4,2006,03-06-07 0:00,126657
303,Vista,9,2005,05-10-07 0:00,112245
304,ColonialVoice,4,2008,11-11-07 0:00,959
305,Distinguish,7,2005,23-07-08 0:00,13961
306,Vista,8,2007,28-10-07 0:00,42844
307,SuperiorCard,1,2006,06-06-08 0:00,175432
308,SuperiorCard,6,2007,07-01-08 0:00,56693
309,Vista,3,2007,23-04-08 0:00,126930
310,Distinguish,11,2006,08-09-05 0:00,8426
311,SuperiorCard,11,2006,17-09-07 0:00,99795
312,SuperiorCard,3,2008,09-07-08 0:00,77645
313,Distinguish,7,2007,29-11-07 0:00,174049
314,ColonialVoice,1,2007,07-05-08 0:00,92136
315,ColonialVoice,10,2008,08-06-06 0:00,128088
316,ColonialVoice,12,2006,09-08-07 0:00,191118
317,ColonialVoice,1,2007,27-06-08 0:00,44245
318,SuperiorCard,12,2005,05-08-06 0:00,85490
319,SuperiorCard,3,2008,01-09-05 0:00,91111
320,Distinguish,9,2005,17-08-07 0:00,115045
321,Vista,7,2005,31-10-06 0:00,6575
322,Vista,12,2006,01-06-08 0:00,53651
323,Distinguish,2,2007,19-09-07 0:00,7952
324,SuperiorCard,2,2005,07-03-03 0:00,21269
325,Vista,12,2007,15-05-07 0:00,55790
326,Distinguish,7,2008,26-07-08 0:00,149182
327,Distinguish,7,2008,08-06-06 0:00,62729
328,SuperiorCard,10,2006,01-04-08 0:00,82732
329,SuperiorCard,8,2008,25-05-06 0:00,96470
330,Distinguish,2,2007,05-06-07 0:00,188973
331,Distinguish,11,2006,05-12-07 0:00,123269
332,SuperiorCard,6,2006,17-04-06 0:00,116211
333,Distinguish,5,2005,09-07-06 0:00,23734
334,Distinguish,6,2005,23-04-08 0:00,126672
335,Distinguish,2,2005,05-09-07 0:00,95214
336,SuperiorCard,7,2008,01-08-06 0:00,2095
337,Vista,5,2007,07-04-07 0:00,61097
338,ColonialVoice,9,2008,05-06-08 0:00,19522
339,Distinguish,12,2008,01-05-08 0:00,30907
340,Distinguish,10,2006,05-09-07 0:00,185523
341,Vista,3,2005,12-01-07 0:00,171022
342,ColonialVoice,1,2006,24-01-08 0:00,19267
343,Vista,7,2008,04-01-08 0:00,73403
344,Vista,9,2006,11-11-07 0:00,48052
345,Vista,6,2008,11-11-07 0:00,58247
346,SuperiorCard,3,2008,25-01-08 0:00,146845
347,SuperiorCard,9,2005,10-10-07 0:00,141248
348,Distinguish,11,2008,10-10-07 0:00,158419
349,ColonialVoice,9,2007,02-01-07 0:00,8229
350,ColonialVoice,5,2007,18-08-07 0:00,25141
351,ColonialVoice,12,2007,20-11-06 0:00,15062
352,Vista,5,2005,25-10-06 0:00,47138
353,Vista,11,2008,01-02-08 0:00,100563
354,SuperiorCard,6,2007,04-01-08 0:00,49867
355,SuperiorCard,9,2008,01-08-07 0:00,99771
356,Vista,10,2008,29-07-07 0:00,34364
357,SuperiorCard,1,2008,15-03-08 0:00,160321
358,SuperiorCard,11,2006,28-06-06 0:00,2015
359,ColonialVoice,10,2008,16-10-06 0:00,133996
360,ColonialVoice,7,2005,21-04-08 0:00,190862
361,SuperiorCard,4,2007,22-02-08 0:00,16466
362,Distinguish,3,2007,06-07-08 0:00,177964
363,ColonialVoice,8,2006,05-05-08 0:00,114357
364,Distinguish,9,2007,10-05-08 0:00,15990
365,Vista,8,2005,13-09-07 0:00,139269
366,Distinguish,6,2007,25-04-08 0:00,26503
367,ColonialVoice,10,2006,06-09-06 0:00,41161
368,SuperiorCard,8,2008,19-12-07 0:00,67649
369,Distinguish,7,2008,05-11-06 0:00,24335
370,Distinguish,10,2007,01-05-06 0:00,60610
371,Vista,2,2006,01-09-06 0:00,22574
372,Distinguish,6,2008,11-03-08 0:00,132042
373,SuperiorCard,10,2008,26-02-06 0:00,12362
374,Vista,2,2007,04-06-08 0:00,174073
375,Distinguish,5,2005,16-04-08 0:00,149453
376,SuperiorCard,7,2006,08-06-07 0:00,174521
377,Vista,1,2005,15-08-06 0:00,72545
378,Distinguish,4,2006,23-03-08 0:00,21988
379,SuperiorCard,2,2008,01-05-08 0:00,133030
380,ColonialVoice,1,2008,19-12-05 0:00,49402
381,SuperiorCard,3,2006,16-08-07 0:00,187046
382,Vista,5,2007,30-10-06 0:00,4191
383,Vista,5,2006,27-07-06 0:00,10125
384,ColonialVoice,8,2007,26-02-08 0:00,66987
385,SuperiorCard,4,2005,02-10-05 0:00,78149
386,SuperiorCard,6,2006,26-05-08 0:00,115667
387,ColonialVoice,10,2006,05-12-07 0:00,46619
388,Distinguish,2,2007,26-08-07 0:00,55365
389,Distinguish,10,2005,01-12-07 0:00,41245
390,Vista,7,2008,12-05-08 0:00,90667
391,ColonialVoice,7,2005,27-03-08 0:00,47990
392,Vista,5,2007,30-11-07 0:00,169419
393,Vista,4,2006,05-04-08 0:00,14940
394,Distinguish,6,2006,23-03-03 0:00,129572
395,ColonialVoice,6,2006,27-12-02 0:00,45399
396,SuperiorCard,2,2006,29-07-08 0:00,52118
397,SuperiorCard,5,2006,09-09-07 0:00,58007
398,SuperiorCard,8,2006,22-07-06 0:00,176661
399,Vista,7,2006,19-08-07 0:00,63403
400,Vista,6,2005,19-11-05 0:00,174851
401,Distinguish,9,2007,13-02-08 0:00,48111
402,ColonialVoice,11,2008,23-06-07 0:00,157133
403,ColonialVoice,7,2008,09-10-06 0:00,107364
404,SuperiorCard,3,2007,19-10-07 0:00,34751
405,Distinguish,9,2006,08-09-07 0:00,35545
406,SuperiorCard,1,2007,24-03-08 0:00,11702
407,SuperiorCard,9,2005,26-03-08 0:00,142425
408,Distinguish,11,2008,12-03-07 0:00,33742
409,ColonialVoice,5,2008,25-03-07 0:00,23345
410,SuperiorCard,5,2008,19-03-07 0:00,100687
411,Distinguish,7,2005,02-03-08 0:00,75539
412,SuperiorCard,8,2005,19-10-05 0:00,45821
413,SuperiorCard,9,2008,15-02-03 0:00,137747
414,Distinguish,1,2006,09-12-07 0:00,85609
415,Distinguish,1,2005,21-02-08 0:00,152614
416,Vista,1,2005,21-01-08 0:00,136814
417,SuperiorCard,11,2006,17-06-08 0:00,22368
418,ColonialVoice,7,2005,29-01-06 0:00,177673
419,SuperiorCard,5,2005,29-08-07 0:00,1102
420,Distinguish,5,2008,16-11-06 0:00,175702
421,ColonialVoice,12,2006,30-12-07 0:00,17509
422,ColonialVoice,1,2005,07-06-08 0:00,168715
423,Vista,9,2007,04-09-07 0:00,141747
424,SuperiorCard,4,2008,01-11-06 0:00,45519
425,Distinguish,3,2008,19-11-07 0:00,8024
426,ColonialVoice,10,2006,14-09-07 0:00,122341
427,Distinguish,11,2006,03-04-08 0:00,79640
428,Vista,1,2008,02-02-08 0:00,15181
429,Vista,3,2008,29-06-07 0:00,186882
430,Vista,12,2006,17-06-06 0:00,54907
431,Distinguish,6,2007,27-11-07 0:00,58994
432,Vista,11,2006,25-12-07 0:00,20675
433,Distinguish,4,2008,26-05-08 0:00,65480
434,Distinguish,3,2006,22-04-08 0:00,174947
435,ColonialVoice,2,2008,29-05-08 0:00,126811
436,Distinguish,1,2006,18-06-08 0:00,59118
437,Vista,11,2008,28-06-08 0:00,55031
438,Distinguish,12,2005,15-04-08 0:00,115098
439,Vista,2,2006,26-05-05 0:00,109004
440,ColonialVoice,2,2007,07-09-07 0:00,30464
441,SuperiorCard,9,2006,16-12-06 0:00,146516
442,Vista,7,2005,02-02-07 0:00,124110
443,ColonialVoice,4,2007,17-07-07 0:00,144616
444,Distinguish,3,2007,13-07-08 0:00,8042
445,SuperiorCard,2,2005,01-01-07 0:00,26883
446,Vista,8,2007,05-03-08 0:00,68526
447,SuperiorCard,8,2007,02-03-08 0:00,121481
448,Vista,12,2007,09-05-08 0:00,22450
449,SuperiorCard,9,2006,23-03-08 0:00,40732
450,SuperiorCard,1,2006,21-09-07 0:00,104086
451,SuperiorCard,6,2005,01-08-06 0:00,70019
452,ColonialVoice,8,2006,02-08-07 0:00,7196
453,SuperiorCard,8,2007,30-04-06 0:00,68825
454,Distinguish,12,2007,17-11-07 0:00,147295
455,SuperiorCard,3,2006,13-12-07 0:00,39701
456,Distinguish,6,2006,19-11-07 0:00,47346
457,ColonialVoice,5,2005,05-09-07 0:00,88429
458,Distinguish,8,2005,12-03-08 0:00,164791
459,Distinguish,9,2007,25-04-08 0:00,145627
460,Distinguish,6,2006,13-12-07 0:00,187680
461,SuperiorCard,10,2006,27-12-07 0:00,91970
462,SuperiorCard,6,2006,06-05-08 0:00,150933
463,Vista,3,2008,30-11-07 0:00,36898
464,SuperiorCard,12,2007,17-01-08 0:00,103952
465,Distinguish,2,2005,13-09-07 0:00,58398
466,SuperiorCard,9,2005,07-10-06 0:00,123794
467,Vista,7,2006,05-05-08 0:00,169260
468,ColonialVoice,10,2006,05-06-08 0:00,105724
469,SuperiorCard,8,2006,09-01-03 0:00,58171
470,Vista,6,2008,15-05-08 0:00,70968
471,Distinguish,11,2005,02-12-07 0:00,179699
472,ColonialVoice,4,2007,15-08-07 0:00,85930
473,Distinguish,3,2007,08-10-07 0:00,32474
474,SuperiorCard,6,2006,28-05-08 0:00,90806
475,SuperiorCard,2,2007,31-07-08 0:00,60556
476,Distinguish,3,2007,10-02-08 0:00,8508
477,Distinguish,4,2007,08-05-08 0:00,169722
478,Distinguish,7,2007,06-10-07 0:00,107076
479,SuperiorCard,1,2008,18-01-08 0:00,135868
480,Distinguish,8,2007,25-05-06 0:00,1565
481,SuperiorCard,9,2007,14-09-06 0:00,74346
482,Vista,9,2006,22-02-07 0:00,64237
483,Distinguish,8,2007,03-12-07 0:00,96400
484,SuperiorCard,7,2006,16-09-07 0:00,43871
485,SuperiorCard,12,2007,03-11-07 0:00,87915
486,Distinguish,6,2006,24-06-06 0:00,75029
487,Vista,8,2005,13-05-08 0:00,180942
488,Distinguish,8,2006,05-03-08 0:00,4418
489,SuperiorCard,8,2005,06-01-08 0:00,102043
490,Vista,11,2007,01-08-06 0:00,87106
491,Vista,8,2007,08-08-07 0:00,118786
492,Vista,8,2007,15-03-06 0:00,97833
493,ColonialVoice,1,2006,11-01-08 0:00,96752
494,Distinguish,10,2006,06-11-06 0:00,14753
495,Distinguish,10,2008,05-08-07 0:00,49830
496,ColonialVoice,9,2007,25-01-08 0:00,99723
497,Distinguish,2,2007,26-02-08 0:00,163583
498,SuperiorCard,9,2007,16-04-08 0:00,40025
499,Distinguish,8,2008,08-06-08 0:00,107629
500,ColonialVoice,8,2008,18-10-07 0:00,159796
501,Distinguish,6,2005,25-01-08 0:00,35084
502,Vista,4,2006,13-05-08 0:00,15554
503,Vista,11,2007,11-12-07 0:00,190276
504,Distinguish,2,2005,26-12-07 0:00,50857
505,Distinguish,8,2005,26-08-07 0:00,9583
506,ColonialVoice,10,2008,26-02-08 0:00,114437
507,ColonialVoice,6,2008,17-11-07 0:00,151784
508,Vista,9,2008,12-04-07 0:00,148078
509,Distinguish,11,2007,12-12-07 0:00,119611
510,SuperiorCard,7,2006,29-05-07 0:00,83415
511,SuperiorCard,5,2008,12-08-07 0:00,128462
512,Vista,2,2005,03-10-07 0:00,180463
513,SuperiorCard,4,2006,04-04-07 0:00,14747
514,ColonialVoice,2,2007,21-11-07 0:00,134589
515,Vista,12,2007,20-06-08 0:00,84746
516,Vista,7,2007,29-09-07 0:00,117518
517,Distinguish,12,2005,02-01-03 0:00,59044
518,ColonialVoice,10,2005,20-01-08 0:00,7656
519,Vista,9,2006,31-12-06 0:00,154162
520,Distinguish,8,2008,24-07-08 0:00,133013
521,SuperiorCard,1,2005,01-05-06 0:00,44038
522,Distinguish,5,2008,13-08-07 0:00,76613
523,SuperiorCard,9,2005,20-12-07 0:00,140863
524,Distinguish,12,2006,07-12-07 0:00,80795
